년,월,계,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구,기타
2018,5월," 929,170 "," 35,393 "," 27,455 "," 14,335 "," 32,941 "," 32,126 "," 61,850 "," 30,004 "," 10,429 "," 38,710 "," 9,470 "," 32,319 "," 25,466 "," 91,420 "," 34,940 "," 40,813 "," 56,775 "," 28,184 "," 64,912 "," 21,343 "," 89,255 "," 22,474 "," 27,670 "," 51,716 "," 25,861 "," 23,309 ",
2018,6월," 1,207,120 "," 49,720 "," 40,050 "," 20,847 "," 47,513 "," 46,788 "," 76,512 "," 41,887 "," 15,175 "," 50,808 "," 14,428 "," 41,767 "," 34,833 "," 109,335 "," 44,268 "," 55,164 "," 67,039 "," 37,331 "," 86,192 "," 29,470 "," 104,456 "," 29,209 "," 36,536 "," 63,313 "," 32,762 "," 31,717 ",
2018,7월," 1,100,045 "," 44,569 "," 37,224 "," 19,075 "," 46,135 "," 43,074 "," 67,797 "," 38,241 "," 15,427 "," 47,547 "," 12,860 "," 37,932 "," 31,677 "," 100,197 "," 40,662 "," 49,202 "," 58,910 "," 34,001 "," 73,038 "," 28,020 "," 96,991 "," 23,992 "," 32,972 "," 60,186 "," 30,860 "," 29,456 ",
2018,8월," 1,037,533 "," 45,297 "," 35,329 "," 18,107 "," 42,589 "," 38,922 "," 65,472 "," 35,792 "," 14,054 "," 45,979 "," 12,351 "," 35,934 "," 29,397 "," 94,062 "," 37,759 "," 44,681 "," 55,595 "," 31,582 "," 67,379 "," 26,933 "," 92,073 "," 22,937 "," 31,955 "," 58,279 "," 28,199 "," 26,876 ",
2018,9월," 1,440,828 "," 64,321 "," 51,314 "," 26,066 "," 56,717 "," 51,165 "," 92,269 "," 47,070 "," 17,988 "," 66,390 "," 17,619 "," 49,055 "," 43,069 "," 128,190 "," 46,709 "," 68,095 "," 76,707 "," 45,217 "," 108,869 "," 37,772 "," 127,467 "," 33,893 "," 42,407 "," 70,006 "," 35,380 "," 37,073 ",
2018,10월," 1,420,285 "," 67,512 "," 50,926 "," 24,650 "," 57,550 "," 53,419 "," 86,811 "," 50,246 "," 19,813 "," 63,991 "," 16,901 "," 49,591 "," 40,107 "," 120,878 "," 46,277 "," 64,969 "," 72,187 "," 45,162 "," 111,763 "," 39,329 "," 121,764 "," 31,694 "," 40,482 "," 71,299 "," 37,665 "," 35,299 ",
2018,11월," 961,528 "," 43,730 "," 32,676 "," 16,249 "," 39,350 "," 35,988 "," 59,942 "," 34,065 "," 14,457 "," 45,054 "," 12,287 "," 36,389 "," 25,193 "," 74,563 "," 33,076 "," 40,882 "," 48,873 "," 34,653 "," 71,230 "," 26,614 "," 79,583 "," 18,890 "," 27,853 "," 55,054 "," 30,312 "," 24,565 ",
2018,12월," 500,814 "," 20,799 "," 16,819 "," 8,217 "," 21,325 "," 19,291 "," 30,733 "," 17,438 "," 7,921 "," 23,813 "," 6,723 "," 18,845 "," 12,309 "," 38,881 "," 18,775 "," 20,539 "," 25,324 "," 17,782 "," 34,335 "," 14,596 "," 41,575 "," 9,363 "," 16,070 "," 30,235 "," 16,308 "," 12,798 ",
2019,소계," 19,074,794 "," 814,143 "," 674,992 "," 339,073 "," 1,181,327 "," 686,181 "," 1,208,136 "," 688,327 "," 296,491 "," 948,428 "," 318,076 "," 671,193 "," 480,400 "," 1,359,451 "," 574,682 "," 862,335 "," 910,237 "," 625,117 "," 1,602,365 "," 556,819 "," 1,569,388 "," 393,396 "," 563,992 "," 801,898 "," 459,250 "," 489,097 ",
2019,1월," 495,573 "," 20,525 "," 15,784 "," 8,333 "," 24,030 "," 19,301 "," 30,235 "," 17,513 "," 8,559 "," 22,640 "," 6,734 "," 17,660 "," 11,725 "," 37,089 "," 17,580 "," 20,469 "," 25,134 "," 16,136 "," 34,837 "," 14,286 "," 42,318 "," 9,543 "," 15,529 "," 30,813 "," 16,487 "," 12,313 ",
2019,2월," 471,542 "," 19,997 "," 15,260 "," 8,031 "," 23,278 "," 17,342 "," 28,837 "," 16,652 "," 7,673 "," 22,557 "," 7,192 "," 16,511 "," 11,776 "," 35,110 "," 16,214 "," 20,037 "," 23,900 "," 15,234 "," 35,783 "," 13,161 "," 38,035 "," 9,784 "," 15,306 "," 27,402 "," 14,740 "," 11,730 ",
2019,3월," 904,788 "," 40,663 "," 28,097 "," 15,665 "," 44,952 "," 33,868 "," 59,366 "," 30,059 "," 14,043 "," 43,592 "," 14,421 "," 32,739 "," 22,567 "," 70,815 "," 30,912 "," 38,529 "," 45,616 "," 31,564 "," 69,712 "," 23,545 "," 73,709 "," 18,244 "," 28,073 "," 46,451 "," 25,596 "," 21,990 ",
2019,4월," 1,468,880 "," 70,645 "," 45,205 "," 24,940 "," 74,407 "," 54,215 "," 97,847 "," 49,661 "," 23,375 "," 69,698 "," 22,849 "," 49,619 "," 37,131 "," 109,473 "," 46,722 "," 67,709 "," 73,372 "," 47,567 "," 123,053 "," 38,474 "," 128,901 "," 30,858 "," 41,966 "," 69,119 "," 38,375 "," 33,699 ",
2019,5월," 2,234,892 "," 101,419 "," 76,171 "," 39,528 "," 126,895 "," 84,233 "," 148,413 "," 74,943 "," 34,072 "," 113,714 "," 36,800 "," 77,041 "," 57,567 "," 163,878 "," 68,526 "," 104,642 "," 110,639 "," 71,706 "," 193,506 "," 60,503 "," 187,279 "," 47,775 "," 61,480 "," 87,870 "," 50,874 "," 55,418 ",
2019,6월," 2,293,879 "," 100,537 "," 80,913 "," 41,770 "," 146,443 "," 86,654 "," 146,471 "," 83,122 "," 35,035 "," 118,258 "," 39,999 "," 79,888 "," 58,319 "," 164,628 "," 69,917 "," 104,726 "," 106,739 "," 74,961 "," 196,305 "," 67,386 "," 183,727 "," 49,610 "," 65,221 "," 84,889 "," 50,073 "," 58,288 ",
2019,7월," 2,164,086 "," 91,865 "," 79,097 "," 39,169 "," 141,079 "," 82,260 "," 131,831 "," 81,264 "," 34,381 "," 106,320 "," 37,392 "," 77,079 "," 54,890 "," 150,573 "," 66,481 "," 99,305 "," 100,604 "," 70,066 "," 182,777 "," 64,934 "," 175,461 "," 43,373 "," 63,454 "," 84,662 "," 49,933 "," 55,836 ",
2019,8월," 2,101,184 "," 86,384 "," 78,456 "," 38,223 "," 137,934 "," 77,002 "," 132,795 "," 78,800 "," 31,937 "," 103,677 "," 35,246 "," 72,120 "," 52,025 "," 148,675 "," 61,670 "," 99,018 "," 97,816 "," 66,023 "," 177,539 "," 63,390 "," 177,412 "," 42,760 "," 63,298 "," 78,142 "," 45,921 "," 54,921 ",
2019,9월," 2,084,222 "," 86,245 "," 77,690 "," 37,894 "," 135,468 "," 70,691 "," 133,654 "," 74,217 "," 29,811 "," 105,309 "," 35,619 "," 73,567 "," 52,722 "," 144,865 "," 57,594 "," 98,127 "," 97,121 "," 69,287 "," 181,947 "," 61,780 "," 172,522 "," 43,985 "," 62,292 "," 79,559 "," 46,031 "," 56,225 ",
2019,10월," 2,436,401 "," 99,597 "," 90,633 "," 42,337 "," 162,583 "," 80,325 "," 149,533 "," 90,743 "," 37,368 "," 120,487 "," 41,178 "," 84,805 "," 63,427 "," 172,998 "," 66,500 "," 109,199 "," 114,118 "," 81,067 "," 214,945 "," 74,373 "," 198,192 "," 52,042 "," 72,226 "," 96,110 "," 56,611 "," 65,004 ",
2019,11월," 1,537,269 "," 63,263 "," 56,434 "," 27,127 "," 103,633 "," 50,735 "," 94,562 "," 58,210 "," 25,147 "," 77,250 "," 26,154 "," 56,447 "," 38,068 "," 103,858 "," 45,374 "," 64,726 "," 72,658 "," 50,622 "," 125,400 "," 47,339 "," 122,770 "," 28,882 "," 46,372 "," 71,835 "," 39,795 "," 40,608 ",
2019,12월," 882,078 "," 33,003 "," 31,252 "," 16,056 "," 60,625 "," 29,555 "," 54,592 "," 33,143 "," 15,090 "," 44,926 "," 14,492 "," 33,717 "," 20,183 "," 57,489 "," 27,192 "," 35,848 "," 42,520 "," 30,884 "," 66,561 "," 27,648 "," 69,062 "," 16,540 "," 28,775 "," 45,046 "," 24,814 "," 23,065 ",
2020,소계," 23,705,176 "," 786,869 "," 878,510 "," 462,869 "," 1,992,035 "," 814,483 "," 1,199,629 "," 941,328 "," 407,260 "," 1,293,256 "," 484,542 "," 846,818 "," 605,096 "," 1,506,898 "," 636,249 "," 932,871 "," 1,055,737 "," 755,786 "," 1,775,555 "," 1,043,611 "," 1,962,266 "," 534,614 "," 735,678 "," 861,312 "," 515,547 "," 676,357 ",
2020,1월," 794,162 "," 31,425 "," 28,794 "," 14,685 "," 55,769 "," 27,354 "," 46,806 "," 29,985 "," 13,569 "," 40,907 "," 13,309 "," 29,031 "," 17,621 "," 51,401 "," 24,662 "," 32,906 "," 37,400 "," 26,339 "," 62,838 "," 26,314 "," 61,120 "," 14,922 "," 25,910 "," 39,069 "," 21,269 "," 20,757 ",
2020,2월," 762,274 "," 28,118 "," 27,573 "," 14,045 "," 55,144 "," 25,736 "," 44,438 "," 28,428 "," 13,508 "," 38,612 "," 13,191 "," 28,674 "," 17,559 "," 50,106 "," 23,463 "," 31,467 "," 37,869 "," 25,952 "," 58,522 "," 25,873 "," 60,974 "," 15,034 "," 24,299 "," 34,890 "," 19,295 "," 19,504 ",
2020,3월," 1,533,691 "," 62,294 "," 56,633 "," 28,368 "," 97,814 "," 43,521 "," 92,571 "," 49,778 "," 22,250 "," 73,889 "," 27,426 "," 51,026 "," 38,385 "," 113,164 "," 45,910 "," 68,124 "," 83,267 "," 50,488 "," 129,620 "," 48,429 "," 139,289 "," 37,440 "," 47,694 "," 55,090 "," 31,840 "," 39,381 ",
2020,4월," 2,157,390 "," 79,089 "," 80,282 "," 40,588 "," 147,352 "," 72,250 "," 122,111 "," 79,398 "," 34,376 "," 107,279 "," 40,443 "," 73,068 "," 56,995 "," 150,066 "," 60,971 "," 88,788 "," 110,751 "," 73,609 "," 171,239 "," 76,385 "," 189,809 "," 53,397 "," 67,082 "," 76,206 "," 45,709 "," 60,147 ",
2020,5월," 2,480,330 "," 85,300 "," 98,413 "," 46,437 "," 189,372 "," 80,659 "," 137,381 "," 91,457 "," 38,580 "," 131,647 "," 48,510 "," 84,809 "," 63,909 "," 171,576 "," 65,055 "," 99,605 "," 118,673 "," 80,235 "," 201,732 "," 94,061 "," 218,156 "," 58,950 "," 76,140 "," 78,994 "," 47,586 "," 73,093 ",
2020,6," 2,770,858 "," 92,917 "," 111,707 "," 54,190 "," 232,202 "," 101,037 "," 141,755 "," 110,454 "," 47,921 "," 161,672 "," 54,601 "," 98,045 "," 70,828 "," 182,327 "," 73,480 "," 106,645 "," 118,247 "," 86,821 "," 218,688 "," 110,918 "," 228,966 "," 59,215 "," 84,085 "," 90,942 "," 55,171 "," 78,024 ",
2020,7," 2,582,511 "," 79,215 "," 97,739 "," 54,529 "," 224,989 "," 92,474 "," 125,755 "," 106,632 "," 43,962 "," 157,294 "," 58,440 "," 93,512 "," 67,948 "," 155,016 "," 65,164 "," 101,647 "," 106,238 "," 81,383 "," 185,533 "," 119,958 "," 209,515 "," 58,366 "," 81,942 "," 85,960 "," 52,437 "," 76,863 ",
2020,8," 1,733,973 "," 49,044 "," 60,506 "," 34,284 "," 171,708 "," 64,675 "," 75,041 "," 71,868 "," 30,698 "," 97,402 "," 36,587 "," 64,853 "," 45,512 "," 106,331 "," 48,233 "," 65,085 "," 65,312 "," 55,313 "," 108,905 "," 90,105 "," 141,157 "," 36,749 "," 57,946 "," 65,714 "," 40,395 "," 50,550 ",
2020,9," 2,811,990 "," 88,740 "," 103,580 "," 54,385 "," 254,479 "," 98,112 "," 132,876 "," 117,245 "," 50,109 "," 150,731 "," 60,621 "," 98,739 "," 75,115 "," 178,535 "," 72,844 "," 111,633 "," 124,775 "," 83,043 "," 206,200 "," 137,897 "," 232,127 "," 67,904 "," 86,950 "," 88,233 "," 55,768 "," 81,349 ",
2020,10," 2,891,618 "," 90,042 "," 103,334 "," 56,260 "," 273,741 "," 99,159 "," 129,299 "," 124,572 "," 53,528 "," 155,534 "," 62,326 "," 102,423 "," 75,231 "," 171,927 "," 70,690 "," 110,650 "," 121,776 "," 87,833 "," 210,042 "," 149,191 "," 234,371 "," 67,257 "," 87,493 "," 106,386 "," 64,036 "," 84,517 ",
2020,11," 1,990,070 "," 62,699 "," 67,583 "," 40,720 "," 185,453 "," 68,106 "," 93,748 "," 82,311 "," 36,201 "," 112,302 "," 43,924 "," 76,164 "," 47,616 "," 110,084 "," 51,330 "," 73,085 "," 80,805 "," 65,414 "," 137,197 "," 102,672 "," 153,107 "," 41,341 "," 58,645 "," 89,134 "," 51,631 "," 58,798 ",
2020,12," 1,196,309 "," 37,986 "," 42,366 "," 24,378 "," 104,012 "," 41,400 "," 57,848 "," 49,200 "," 22,558 "," 65,987 "," 25,164 "," 46,474 "," 28,377 "," 66,365 "," 34,447 "," 43,236 "," 50,624 "," 39,356 "," 85,039 "," 61,808 "," 93,675 "," 24,039 "," 37,492 "," 50,694 "," 30,410 "," 33,374 ",
2021,소계," 32,053,367 "," 954,181 "," 1,273,447 "," 576,052 "," 3,274,017 "," 1,030,133 "," 1,490,398 "," 1,219,760 "," 531,780 "," 1,781,410 "," 691,563 "," 1,215,744 "," 737,852 "," 1,811,757 "," 771,283 "," 1,103,508 "," 1,262,852 "," 918,391 "," 2,684,444 "," 1,701,609 "," 2,554,564 "," 730,546 "," 924,908 "," 1,182,889 "," 757,888 "," 872,391 ",
2021,1," 812,021 "," 24,746 "," 26,195 "," 16,140 "," 75,056 "," 27,496 "," 38,393 "," 31,669 "," 13,534 "," 42,031 "," 16,662 "," 33,457 "," 18,987 "," 48,687 "," 23,104 "," 29,517 "," 35,857 "," 26,170 "," 54,843 "," 43,366 "," 64,385 "," 18,239 "," 25,482 "," 35,679 "," 19,510 "," 22,816 ",
2021,2," 1,234,546 "," 38,734 "," 43,287 "," 23,395 "," 108,048 "," 38,485 "," 62,803 "," 46,955 "," 18,451 "," 61,592 "," 25,904 "," 48,879 "," 29,542 "," 75,534 "," 31,805 "," 46,882 "," 57,664 "," 38,516 "," 95,687 "," 61,890 "," 103,044 "," 29,290 "," 36,577 "," 49,249 "," 27,478 "," 34,855 ",
2021,3," 2,184,228 "," 67,403 "," 77,636 "," 40,773 "," 205,076 "," 67,844 "," 109,724 "," 83,905 "," 34,468 "," 110,227 "," 45,446 "," 86,145 "," 53,135 "," 130,787 "," 58,112 "," 80,052 "," 96,034 "," 67,314 "," 174,586 "," 107,903 "," 183,618 "," 50,204 "," 64,372 "," 81,365 "," 47,612 "," 60,487 ",
2021,4," 3,043,238 "," 100,149 "," 110,539 "," 57,238 "," 282,076 "," 97,162 "," 145,509 "," 119,457 "," 52,079 "," 161,408 "," 65,248 "," 113,602 "," 75,183 "," 179,679 "," 74,664 "," 119,083 "," 129,241 "," 90,455 "," 254,196 "," 144,955 "," 249,495 "," 74,046 "," 87,328 "," 109,919 "," 68,185 "," 82,342 ",
2021,5," 2,950,150 "," 89,945 "," 112,181 "," 55,181 "," 289,198 "," 94,537 "," 139,343 "," 112,171 "," 46,718 "," 167,226 "," 65,900 "," 111,375 "," 71,680 "," 173,054 "," 70,227 "," 108,086 "," 119,673 "," 87,494 "," 248,833 "," 151,021 "," 229,619 "," 73,358 "," 85,863 "," 101,060 "," 63,519 "," 82,888 ",
2021,6," 3,460,407 "," 99,707 "," 143,647 "," 63,661 "," 361,535 "," 112,114 "," 154,983 "," 130,692 "," 58,141 "," 200,532 "," 78,774 "," 130,745 "," 80,544 "," 195,800 "," 81,963 "," 116,594 "," 131,121 "," 100,254 "," 294,394 "," 185,528 "," 260,410 "," 77,508 "," 101,832 "," 124,232 "," 82,593 "," 93,103 ",
2021,7," 3,377,277 ",93853,140691," 62,266 "," 356,074 "," 113,685 "," 151,196 "," 128,627 "," 58,702 "," 201,446 "," 77,210 "," 130,815 "," 78,784 "," 180,633 "," 79,976 "," 110,075 "," 124,901 "," 97,886 "," 275,364 "," 184,111 "," 261,627 "," 71,053 "," 99,794 "," 125,350 "," 80,704 "," 92,454 ",
2021,8," 3,245,733 ",93764,131856," 60,019 "," 324,880 "," 108,200 "," 152,961 "," 121,968 "," 52,691 "," 191,040 "," 74,885 "," 124,150 "," 76,143 "," 182,588 "," 77,904 "," 110,132 "," 126,108 "," 95,048 "," 264,359 "," 172,447 "," 255,080 "," 73,576 "," 94,329 "," 116,329 "," 75,921 "," 89,355 ",
2021,9," 3,736,390 ",112887,149651," 65,953 "," 381,710 "," 117,559 "," 173,952 "," 141,001 "," 59,884 "," 209,904 "," 83,079 "," 137,630 "," 87,563 "," 214,228 "," 86,969 "," 130,265 "," 146,971 "," 101,653 "," 322,493 "," 199,699 "," 304,525 "," 91,786 "," 107,214 "," 126,957 "," 82,902 "," 99,955 ",
2021,10," 3,445,677 ",100918,147248," 56,355 "," 371,285 "," 111,050 "," 156,401 "," 131,418 "," 57,955 "," 188,346 "," 69,706 "," 125,319 "," 76,664 "," 191,319 "," 78,422 "," 113,150 "," 129,390 "," 91,327 "," 303,748 "," 189,339 "," 277,512 "," 79,685 "," 96,192 "," 125,707 "," 84,635 "," 92,586 ",
2021,11," 2,737,101 ",79121,113266,45063,302870,85271,122654,103196,46437,149095,54428,103429,55536,146322,65747,85164,100093,74594,238059,152926,218828,57728,75990,111855,75904,73525,
