년,월,계,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구,기타
2021,12," 1,826,599 ",52954,77250," 30,008 "," 216,209 "," 56,730 "," 82,479 "," 68,701 "," 32,720 "," 98,563 "," 34,321 "," 70,198 "," 34,091 "," 93,126 "," 42,390 "," 54,508 "," 65,799 "," 47,680 "," 157,882 "," 108,424 "," 146,421 "," 34,073 "," 49,935 "," 75,187 "," 48,925 "," 48,025 ",
2022,소계," 40,948,900 "," 1,212,908 "," 1,785,324 "," 610,968 "," 4,600,475 "," 1,122,897 "," 1,962,996 "," 1,549,106 "," 691,853 "," 2,351,491 "," 823,487 "," 1,448,600 "," 872,313 "," 2,189,600 "," 868,545 "," 1,271,358 "," 1,574,521 "," 1,034,224 "," 3,791,531 "," 2,346,749 "," 3,330,749 "," 872,746 "," 1,075,434 "," 1,447,846 "," 957,034 "," 1,156,133 ",
2022,1," 1,419,748 "," 41,490 "," 60,059 "," 23,027 "," 165,087 "," 43,403 "," 66,763 "," 53,498 "," 25,930 "," 77,979 "," 27,634 "," 54,238 "," 25,649 "," 73,015 "," 33,112 "," 42,499 "," 51,176 "," 36,290 "," 124,892 "," 86,519 "," 111,601 "," 25,530 "," 38,264 "," 57,387 "," 36,395 "," 38,311 ",
2022,2," 1,349,260 "," 41,220 "," 56,938 "," 22,030 "," 148,814 "," 41,588 "," 64,910 "," 50,818 "," 24,001 "," 74,468 "," 26,956 "," 49,314 "," 26,190 "," 69,332 "," 31,752 "," 41,856 "," 49,868 "," 33,972 "," 120,979 "," 77,746 "," 107,347 "," 26,038 "," 36,306 "," 54,768 "," 34,657 "," 37,392 ",
2022,3," 2,423,559 "," 76,218 "," 98,634 "," 38,516 "," 251,077 "," 69,498 "," 119,354 "," 88,345 "," 40,059 "," 138,431 "," 50,048 "," 92,763 "," 48,283 "," 136,566 "," 57,539 "," 76,278 "," 97,244 "," 68,450 "," 216,601 "," 128,297 "," 194,601 "," 52,223 "," 63,080 "," 94,931 "," 60,586 "," 65,937 ",
2022,4," 3,990,009 "," 125,567 "," 164,016 "," 61,015 "," 394,535 "," 115,782 "," 200,639 "," 143,436 "," 62,855 "," 223,595 "," 79,863 "," 144,994 "," 85,291 "," 229,861 "," 90,510 "," 134,680 "," 166,466 "," 105,708 "," 378,835 "," 201,132 "," 336,702 "," 92,477 "," 104,567 "," 144,630 "," 93,831 "," 109,020 ", 2 
2022,5," 4,962,202 "," 148,721 "," 210,884 "," 76,051 "," 526,926 "," 144,160 "," 244,966 "," 183,406 "," 80,355 "," 287,424 "," 100,779 "," 181,893 "," 107,726 "," 281,843 "," 107,723 "," 156,936 "," 194,904 "," 130,138 "," 471,197 "," 262,653 "," 396,770 "," 115,559 "," 127,994 "," 168,609 "," 110,437 "," 144,147 ", 1 
2022,6," 4,256,318 "," 123,788 "," 189,797 "," 63,811 "," 483,160 "," 121,648 "," 203,169 "," 162,744 "," 71,276 "," 244,227 "," 89,032 "," 150,356 "," 91,601 "," 230,737 "," 89,937 "," 127,673 "," 159,409 "," 109,648 "," 397,576 "," 248,598 "," 337,700 "," 94,600 "," 111,658 "," 137,459 "," 93,967 "," 122,747 ",
2022,7," 4,101,127 "," 115,823 "," 181,247 "," 60,469 "," 481,296 "," 117,368 "," 187,867 "," 157,469 "," 70,110 "," 239,757 "," 85,704 "," 141,073 "," 88,810 "," 213,887 "," 85,481 "," 123,738 "," 151,461 "," 101,748 "," 370,068 "," 247,949 "," 329,403 "," 86,199 "," 109,105 "," 141,682 "," 96,119 "," 117,294 ",
2022,8," 3,620,587 "," 105,581 "," 160,338 "," 54,908 "," 411,483 "," 93,954 "," 171,607 "," 132,586 "," 59,394 "," 210,852 "," 74,531 "," 124,166 "," 80,856 "," 192,842 "," 75,515 "," 113,936 "," 136,086 "," 89,153 "," 330,069 "," 213,508 "," 295,751 "," 79,267 "," 97,824 "," 129,702 "," 84,481 "," 102,195 ", 2 
2022,9," 4,760,532 "," 142,928 "," 210,906 "," 69,420 "," 530,709 "," 120,551 "," 233,462 "," 179,529 "," 77,887 "," 277,332 "," 96,895 "," 164,197 "," 106,377 "," 253,501 "," 95,762 "," 156,903 "," 185,829 "," 119,193 "," 441,644 "," 273,142 "," 392,621 "," 103,194 "," 125,996 "," 159,765 "," 106,609 "," 136,180 ",
2022,10," 4,470,272 "," 128,646 "," 198,788 "," 64,792 "," 525,380 "," 113,200 "," 208,361 "," 175,761 "," 78,077 "," 259,820 "," 88,474 "," 151,123 "," 97,653 "," 235,602 "," 88,948 "," 135,139 "," 170,043 "," 108,625 "," 419,617 "," 263,700 "," 366,984 "," 95,075 "," 117,382 "," 151,903 "," 100,791 "," 126,385 ",3
2022,11," 3,838,569 "," 114,914 "," 175,238 "," 52,961 "," 455,156 "," 98,527 "," 180,310 "," 152,841 "," 69,627 "," 218,894 "," 71,574 "," 131,516 "," 80,128 "," 189,759 "," 77,157 "," 114,234 "," 145,325 "," 91,303 "," 359,190 "," 228,158 "," 315,632 "," 72,645 "," 97,903 "," 142,102 "," 95,356 "," 108,117 ",2
2022,12," 1,756,717 "," 48,012 "," 78,479 "," 23,968 "," 226,852 "," 43,218 "," 81,588 "," 68,673 "," 32,282 "," 98,712 "," 31,997 "," 62,967 "," 33,749 "," 82,655 "," 35,109 "," 47,486 "," 66,710 "," 39,996 "," 160,863 "," 115,347 "," 145,637 "," 29,939 "," 45,355 "," 64,908 "," 43,805 "," 48,408 ",2
2023,소계," 16,723,496 "," 525,055 "," 717,521 "," 260,627 "," 1,859,572 "," 414,884 "," 820,720 "," 658,422 "," 286,036 "," 1,011,936 "," 346,221 "," 599,641 "," 343,460 "," 841,789 "," 340,868 "," 501,267 "," 679,376 "," 410,362 "," 1,579,209 "," 938,128 "," 1,356,173 "," 343,033 "," 419,072 "," 586,812 "," 403,478 "," 479,814 ",
2023,1," 1,571,452 "," 45,701 "," 67,421 "," 23,731 "," 199,292 "," 40,488 "," 72,160 "," 62,254 "," 28,941 "," 89,191 "," 30,441 "," 54,909 "," 30,536 "," 73,979 "," 31,629 "," 44,201 "," 61,224 "," 34,700 "," 141,523 "," 101,331 "," 129,692 "," 27,554 "," 40,348 "," 58,242 "," 39,497 "," 42,461 ",6
2023,2," 2,231,519 "," 69,050 "," 97,236 "," 35,716 "," 259,264 "," 55,675 "," 104,386 "," 86,871 "," 39,646 "," 132,046 "," 45,932 "," 79,114 "," 43,787 "," 106,605 "," 45,707 "," 65,663 "," 89,663 "," 52,165 "," 207,947 "," 134,064 "," 180,899 "," 41,594 "," 56,461 "," 82,822 "," 57,613 "," 61,579 ",14
2023,3," 3,885,535 "," 118,124 "," 165,939 "," 61,826 "," 415,514 "," 92,271 "," 198,583 "," 150,880 "," 64,623 "," 234,956 "," 79,453 "," 142,527 "," 79,771 "," 202,678 "," 82,378 "," 111,942 "," 163,256 "," 98,213 "," 378,989 "," 211,210 "," 314,494 "," 79,212 "," 97,676 "," 136,506 "," 93,760 "," 110,754 ",
2023,4," 4,082,096 "," 134,028 "," 177,915 "," 64,254 "," 429,349 "," 101,770 "," 203,428 "," 162,204 "," 67,435 "," 248,641 "," 86,424 "," 143,867 "," 85,121 "," 209,009 "," 82,393 "," 126,749 "," 168,227 "," 101,256 "," 395,976 "," 221,047 "," 330,534 "," 87,634 "," 102,882 "," 139,873 "," 95,113 "," 116,967 ",
2023,5," 4,952,894 "," 158,152 "," 209,010 "," 75,100 "," 556,153 "," 124,680 "," 242,163 "," 196,213 "," 85,391 "," 307,102 "," 103,971 "," 179,224 "," 104,245 "," 249,518 "," 98,761 "," 152,712 "," 197,006 "," 124,028 "," 454,774 "," 270,476 "," 400,554 "," 107,039 "," 121,705 "," 169,369 "," 117,495 "," 148,053 ",
2023,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
