RENT_STATION_NAME,06~09,09~12,12~15,15~18,18~21,기타
개포4동_034_1,18,2,0,13,8,11
개포4동_036_1,10,2,0,2,6,0
개포4동_038_1,10,2,0,0,2,8
개포4동_045_1,8,4,0,2,7,5
개포4동_048_1,10,0,2,2,2,8
거여1동_002_1,29,9,5,8,7,0
거여1동_012_1,10,7,1,1,0,3
거여1동_019_1,31,20,6,17,42,22
거여1동_020_1,8,4,0,2,2,2
거여1동_021_1,23,15,13,17,47,25
거여1동_027_1,10,0,2,5,17,14
거여2동_004_1,10,16,23,32,36,19
거여2동_006_1,2,4,4,5,4,5
거여2동_017_1,14,4,4,4,19,9
거여2동_027_1,3,0,10,4,3,6
고덕1동_004_1,34,6,6,8,14,6
고덕1동_005_1,14,4,8,8,2,10
고덕1동_005_3,4,2,4,10,10,10
고덕1동_012_1,13,13,18,15,11,12
고덕1동_013_1,15,9,0,12,16,8
고덕1동_019_1,10,7,3,6,17,13
고덕1동_035_1,18,1,6,3,1,3
고덕1동_039_1,18,0,0,1,1,2
고덕1동_042_1,6,14,4,4,11,7
고덕1동_054_1,13,5,1,5,8,20
고덕1동_056_1,4,8,4,4,2,2
고덕1동_060_1,8,1,6,5,3,7
고덕1동_064_1,20,2,2,7,5,4
고덕1동_065_1,9,7,4,1,9,4
고덕1동_073_1,5,3,3,12,8,3
고덕1동_073_2,21,15,20,24,38,16
고덕1동_080_1,7,5,0,4,0,2
고덕1동_093_1,17,5,3,11,10,4
고덕1동_095_1,13,7,4,7,9,0
고덕1동_102_1,11,9,4,17,9,10
고덕2동_001_2,9,23,17,23,14,22
고덕2동_003_2,0,7,28,67,49,1
고덕2동_003_3,1,4,12,34,24,5
고덕2동_005_1,6,3,7,10,4,2
고덕2동_005_2,4,4,0,6,3,15
고덕2동_034_1,44,19,13,19,57,32
고척1동_001_1,14,8,2,6,2,8
고척1동_001_2,41,26,49,58,80,180
고척1동_009_1,17,3,8,13,17,16
고척1동_023_1,33,13,29,41,34,40
고척1동_023_2,48,4,0,16,18,14
고척1동_027_1,9,3,17,17,32,12
고척1동_042_1,22,12,25,21,32,38
고척2동_002_1,40,11,4,24,33,34
고척2동_016_1,22,19,17,22,34,20
공덕동_002_1,18,14,4,2,4,2
공덕동_007_1,14,10,10,3,7,4
공덕동_009_1,27,18,13,15,43,18
공덕동_009_2,9,10,8,14,17,8
공덕동_011_1,41,9,6,18,27,21
공덕동_013_1,6,16,21,13,7,7
공덕동_061_1,8,0,0,0,0,0
공릉1동_011_1,8,6,2,9,14,9
공릉1동_016_1,40,79,40,38,109,64
공릉1동_031_1,23,30,53,59,112,91
공릉1동_034_1,10,0,0,0,0,8
공릉1동_040_1,11,17,18,12,17,17
공릉1동_040_2,14,12,37,26,51,54
공릉1동_042_1,15,19,22,42,68,46
공릉1동_045_1,18,7,11,24,33,31
공릉1동_049_1,51,28,48,37,37,37
공릉1동_059_1,36,1,3,10,15,3
공릉1동_061_1,41,6,13,21,8,1
공릉1동_064_1,18,12,4,2,5,1
공릉1동_070_1,18,22,6,22,14,18
공릉2동_002_1,7,11,8,10,3,3
공릉2동_002_2,2,4,5,27,14,4
공릉2동_002_3,0,0,0,3,1,0
공릉2동_002_4,1,1,0,2,0,0
공릉2동_002_5,2,0,2,2,6,2
공릉2동_002_7,2,0,3,2,1,0
공릉2동_016_1,14,10,11,34,11,12
공릉2동_020_1,19,16,17,40,28,16
공릉2동_027_1,16,6,4,15,13,8
공릉2동_029_1,6,6,2,1,5,4
공릉2동_029_2,34,24,18,47,47,28
공릉2동_044_1,5,18,14,31,34,28
공릉2동_044_3,19,34,50,51,89,81
공릉2동_064_1,13,3,3,6,14,13
공항동_004_1,38,10,26,34,70,56
공항동_004_2,14,5,9,15,37,30
공항동_005_1,31,4,3,6,4,8
공항동_005_2,12,4,2,2,12,6
공항동_007_1,4,4,4,8,14,18
공항동_009_1,19,24,11,23,7,6
공항동_009_2,1,2,5,5,17,6
공항동_028_1,16,6,17,34,37,28
공항동_030_1,112,45,23,35,31,24
공항동_037_1,32,27,33,40,33,37
공항동_037_2,12,12,23,14,21,16
공항동_038_1,54,29,14,16,16,15
공항동_044_1,64,8,6,30,25,19
공항동_049_1,16,5,1,18,24,12
공항동_057_1,124,15,19,29,42,19
공항동_060_1,169,65,29,56,61,28
광장동_004_1,0,0,4,2,0,0
광장동_013_1,2,4,12,37,28,17
광장동_013_2,21,8,16,29,44,26
광장동_015_1,2,5,1,2,2,12
광장동_038_1,48,9,8,17,16,22
광장동_040_1,11,12,5,2,2,2
광장동_041_1,20,5,13,27,9,16
광장동_046_1,21,24,10,34,44,37
광희동_001_1,4,4,10,22,10,28
광희동_001_2,7,21,17,41,66,28
광희동_001_3,18,9,19,29,17,10
광희동_001_4,4,14,19,43,20,30
광희동_001_5,9,17,20,18,49,23
광희동_002_1,17,19,10,7,34,9
광희동_006_1,13,6,15,25,29,20
광희동_007_1,7,7,10,12,10,8
광희동_009_1,7,8,17,12,18,6
교남동_010_1,36,8,1,9,11,17
교남동_015_1,25,17,6,2,10,0
교남동_015_2,32,0,2,13,29,4
구로1동_001_1,27,23,8,12,54,2
구로1동_002_1,38,14,7,18,23,12
구로1동_003_1,69,6,13,20,56,36
구로1동_009_1,28,12,14,15,38,27
구로1동_019_1,6,4,0,3,3,2
구로1동_028_1,53,32,19,22,35,15
구로2동_001_1,26,8,8,22,28,12
구로2동_001_2,4,2,12,12,8,6
구로2동_001_3,3,13,7,52,3,8
구로2동_001_4,6,4,2,2,2,2
